Development,AvailableLots,timestamp
Suntec City,1100,2022-03-31T04:02
Suntec City,1664,2022-03-31T10:52
Suntec City,1648,2022-03-31T11:12
Suntec City,2556,2022-03-31T14:57
Suntec City,2556,2022-03-31T15:02
Suntec City,2732,2022-03-31T22:32
Suntec City,2726,2022-03-31T22:52
Suntec City,986,2022-04-01T06:27
Suntec City,2357,2022-04-01T15:02
Suntec City,2651,2022-04-01T17:12
Suntec City,2674,2022-04-01T17:42
Suntec City,2674,2022-04-01T17:47
Suntec City,2687,2022-04-01T17:57
Suntec City,2745,2022-04-01T20:57
Suntec City,2745,2022-04-01T21:02
Suntec City,2488,2022-04-02T01:27
Suntec City,2488,2022-04-02T01:32
Suntec City,2512,2022-04-02T15:02
Suntec City,2556,2022-04-02T15:12
Suntec City,2678,2022-04-02T15:37
Suntec City,2740,2022-04-02T19:37
Suntec City,2741,2022-04-02T20:07
Suntec City,2742,2022-04-02T20:17
Suntec City,2742,2022-04-02T20:22
Suntec City,2742,2022-04-02T20:27
Suntec City,2742,2022-04-02T20:32
Suntec City,2737,2022-04-03T21:47
Suntec City,2403,2022-04-04T13:57
Suntec City,2697,2022-04-04T16:37
Suntec City,2697,2022-04-04T16:47
Suntec City,2701,2022-04-04T16:52
Suntec City,2708,2022-04-04T17:02
Suntec City,2708,2022-04-04T17:07
Suntec City,2710,2022-04-04T17:22
Suntec City,2711,2022-04-04T17:32
Suntec City,2711,2022-04-04T17:42
Suntec City,2720,2022-04-04T19:07
Suntec City,2736,2022-04-04T19:22
Suntec City,2736,2022-04-04T19:47
Suntec City,2738,2022-04-04T22:07
Suntec City,1159,2022-04-05T04:07
Suntec City,1025,2022-04-05T05:42
Suntec City,1763,2022-04-05T11:17
Suntec City,2566,2022-04-05T14:57
Suntec City,2635,2022-04-05T15:17
Suntec City,2635,2022-04-05T15:32
Suntec City,2722,2022-04-05T17:42
Suntec City,2730,2022-04-05T18:32
Suntec City,2730,2022-04-05T18:42
Suntec City,2730,2022-04-05T18:47
Suntec City,2731,2022-04-05T18:57
Suntec City,2729,2022-04-05T19:42
Suntec City,2730,2022-04-05T20:17
Suntec City,2730,2022-04-05T20:22
Suntec City,2730,2022-04-05T20:42
Suntec City,2731,2022-04-05T20:52
Suntec City,2731,2022-04-05T21:07
Suntec City,2731,2022-04-05T21:27
Suntec City,2731,2022-04-05T21:37
Suntec City,2731,2022-04-05T21:42
Suntec City,2731,2022-04-05T21:52
Suntec City,2731,2022-04-05T21:57
Suntec City,2726,2022-04-05T22:22
Suntec City,2726,2022-04-05T22:27
Suntec City,1029,2022-04-06T04:07
Suntec City,972,2022-04-06T04:32
Suntec City,2627,2022-04-06T15:27
Suntec City,922,2022-04-07T06:27
Suntec City,896,2022-04-08T07:27
Suntec City,2469,2022-04-08T15:22
Suntec City,2469,2022-04-08T15:32
Suntec City,2728,2022-04-08T17:37
Suntec City,2739,2022-04-08T17:52
Suntec City,2748,2022-04-08T18:52
Suntec City,2727,2022-04-09T18:37
Suntec City,2727,2022-04-09T18:47
Suntec City,2477,2022-04-10T14:12
Suntec City,2667,2022-04-10T15:47
Suntec City,2667,2022-04-10T15:52
Suntec City,2675,2022-04-10T16:17
Suntec City,2694,2022-04-10T16:22
Suntec City,2736,2022-04-10T18:22
Suntec City,2735,2022-04-10T18:37
Suntec City,2735,2022-04-10T18:42
Suntec City,2748,2022-04-10T19:52
Suntec City,2748,2022-04-10T19:57
Suntec City,2747,2022-04-10T20:12
Suntec City,2747,2022-04-10T20:17
Suntec City,2745,2022-04-12T21:12
Suntec City,2744,2022-04-12T21:17
Suntec City,2744,2022-04-12T21:22
Suntec City,2744,2022-04-12T21:27
Suntec City,2743,2022-04-12T21:32
Suntec City,2743,2022-04-12T21:37
Suntec City,2743,2022-04-12T21:42
Suntec City,2745,2022-04-12T21:47
Suntec City,2745,2022-04-12T21:52
Suntec City,2744,2022-04-12T21:57
Suntec City,2744,2022-04-12T22:02
Suntec City,853,2022-04-14T05:57
Suntec City,848,2022-04-14T06:02
Suntec City,1281,2022-04-15T13:27
Suntec City,975,2022-04-18T04:57
Suntec City,1827,2022-04-18T11:27
Suntec City,1827,2022-04-18T11:32
Suntec City,2404,2022-04-19T13:52
Suntec City,2453,2022-04-19T14:07
Suntec City,2539,2022-04-19T14:27
Suntec City,2547,2022-04-19T14:32
Suntec City,2573,2022-04-19T14:42
Suntec City,2679,2022-04-19T16:07
Suntec City,2693,2022-04-19T16:27
Suntec City,2700,2022-04-19T16:47
Suntec City,2708,2022-04-19T16:57
Suntec City,2734,2022-02-27T17:37
Suntec City,2737,2022-02-27T18:02
Suntec City,2737,2022-02-27T18:12
Suntec City,2738,2022-02-27T18:17
Suntec City,2738,2022-02-27T18:27
Suntec City,2740,2022-02-27T18:32
Suntec City,2740,2022-02-27T18:37
Suntec City,2740,2022-02-27T18:42
Suntec City,2740,2022-02-27T18:47
Suntec City,2740,2022-02-27T18:52
Suntec City,2740,2022-02-27T18:57
Suntec City,2740,2022-02-27T19:02
Suntec City,1893,2022-02-28T11:22
Suntec City,1893,2022-02-28T11:27
Suntec City,1929,2022-02-28T11:37
Suntec City,1929,2022-02-28T11:42
Suntec City,2124,2022-02-28T13:02
Suntec City,2297,2022-02-28T13:22
Suntec City,2738,2022-02-28T21:12
Suntec City,2738,2022-02-28T21:17
Suntec City,2738,2022-02-28T21:22
Suntec City,1807,2022-03-01T11:27
Suntec City,2344,2022-03-01T13:42
Suntec City,2739,2022-03-01T21:32
Suntec City,2739,2022-03-01T21:37
Suntec City,2739,2022-03-01T21:42
Suntec City,2737,2022-03-01T21:47
Suntec City,1141,2022-03-02T04:17
Suntec City,1827,2022-03-02T11:07
Suntec City,1813,2022-03-02T11:17
Suntec City,2569,2022-03-02T14:37
Suntec City,2603,2022-03-02T14:47
Suntec City,2622,2022-03-02T15:07
Suntec City,2662,2022-03-02T15:42
Suntec City,2671,2022-03-02T16:02
Suntec City,2675,2022-03-02T16:07
Suntec City,2675,2022-03-02T16:17
Suntec City,2722,2022-03-02T18:27
Suntec City,2308,2022-03-03T13:52
Suntec City,2622,2022-03-03T16:07
Suntec City,2622,2022-03-03T16:12
Suntec City,2714,2022-03-03T18:22
Suntec City,2717,2022-03-03T18:32
Suntec City,2717,2022-03-03T18:37
Suntec City,2717,2022-03-03T18:42
Suntec City,2723,2022-03-03T18:47
Suntec City,2749,2022-03-03T22:17
Suntec City,2359,2022-03-04T14:47
Suntec City,2597,2022-03-04T16:17
Suntec City,2597,2022-03-04T16:22
Suntec City,2613,2022-03-04T16:37
Suntec City,2653,2022-03-04T17:12
Suntec City,2689,2022-03-04T17:42
Suntec City,2694,2022-03-04T18:07
Suntec City,2694,2022-03-04T18:12
Suntec City,2719,2022-03-04T18:52
Suntec City,2719,2022-03-04T19:02
Suntec City,2732,2022-03-04T19:22
Suntec City,2734,2022-03-04T19:32
Suntec City,2424,2022-03-05T15:22
Suntec City,2472,2022-03-05T15:52
Suntec City,2733,2022-03-06T17:57
Suntec City,2736,2022-03-06T18:17
Suntec City,2739,2022-03-06T19:37
Suntec City,2738,2022-03-06T19:47
Suntec City,2738,2022-03-06T20:22
Suntec City,2738,2022-03-06T20:42
Suntec City,2738,2022-03-06T21:12
Suntec City,2738,2022-03-06T21:17
Suntec City,2738,2022-03-06T21:27
Suntec City,2738,2022-03-06T21:32
Suntec City,2738,2022-03-06T21:37
Suntec City,2738,2022-03-06T21:42
Suntec City,2738,2022-03-06T21:47
Suntec City,2738,2022-03-06T21:52
Suntec City,1119,2022-03-07T04:42
Suntec City,1093,2022-03-07T05:07
Suntec City,2743,2022-03-07T21:47
Suntec City,2743,2022-03-07T22:02
Suntec City,2741,2022-03-07T22:07
Suntec City,2741,2022-03-07T22:17
Suntec City,2447,2022-03-08T14:07
Suntec City,2447,2022-03-08T14:17
Suntec City,2589,2022-03-08T15:07
Suntec City,2682,2022-03-08T16:37
Suntec City,2682,2022-03-08T16:47
Suntec City,2706,2022-03-08T17:12
Suntec City,2717,2022-03-08T17:27
Suntec City,2727,2022-03-08T17:47
Suntec City,2727,2022-03-08T17:57
Suntec City,2735,2022-03-08T18:07
Suntec City,2735,2022-03-08T18:12
Suntec City,2735,2022-03-08T18:17
Suntec City,2737,2022-03-08T18:22
Suntec City,2737,2022-03-08T18:27
Suntec City,1848,2022-03-09T10:57
Suntec City,2400,2022-03-09T14:02
Suntec City,2467,2022-03-09T14:07
Suntec City,2567,2022-03-09T14:57
Suntec City,2594,2022-03-09T15:12
Suntec City,2674,2022-03-09T16:22
Suntec City,2674,2022-03-09T16:27
Suntec City,2685,2022-03-09T16:32
Suntec City,2685,2022-03-09T16:37
Suntec City,2715,2022-03-09T17:22
Suntec City,2715,2022-03-09T17:27
Suntec City,2145,2022-03-10T13:22
Suntec City,2699,2022-03-10T18:02
Suntec City,2699,2022-03-10T18:07
Suntec City,2703,2022-03-10T18:42
Suntec City,2703,2022-03-10T18:52
Suntec City,2703,2022-03-10T19:02
Suntec City,2704,2022-03-10T19:17
Suntec City,2708,2022-03-10T19:37
Suntec City,2708,2022-03-10T19:42
Suntec City,2709,2022-03-10T19:47
Suntec City,2709,2022-03-10T19:57
Suntec City,2709,2022-03-10T20:02
Suntec City,2709,2022-03-10T20:12
Suntec City,2709,2022-03-10T20:17
Suntec City,2708,2022-03-10T20:22
Suntec City,2709,2022-03-10T21:27
Suntec City,2709,2022-03-10T21:42
Suntec City,2711,2022-03-10T21:52
Suntec City,2711,2022-03-10T21:57
Suntec City,2711,2022-03-10T22:07
Suntec City,1159,2022-03-11T04:27
Suntec City,988,2022-03-11T05:47
Suntec City,988,2022-03-11T05:52
Suntec City,1166,2022-03-11T10:52
Suntec City,2670,2022-03-11T18:07
Suntec City,2692,2022-03-11T18:57
Suntec City,2698,2022-03-11T19:12
Suntec City,2737,2022-03-11T19:52
Suntec City,2338,2022-03-12T14:47
Suntec City,2437,2022-03-12T15:42
Suntec City,2437,2022-03-12T15:47
Suntec City,2595,2022-03-12T16:37
Suntec City,2595,2022-03-12T16:42
Suntec City,2695,2022-03-12T18:17
Suntec City,2695,2022-03-12T18:27
Suntec City,2714,2022-03-13T17:32
Suntec City,2714,2022-03-13T17:42
Suntec City,2740,2022-03-13T19:17
Suntec City,2740,2022-03-13T19:42
Suntec City,2740,2022-03-13T19:47
Suntec City,2740,2022-03-13T19:57
Suntec City,2740,2022-03-13T20:02
Suntec City,1619,2022-03-14T11:27
Suntec City,1633,2022-03-14T11:42
Suntec City,1966,2022-03-15T13:07
Suntec City,882,2022-03-16T04:22
Suntec City,882,2022-03-16T04:27
Suntec City,1497,2022-03-16T11:02
Suntec City,2405,2022-03-16T14:02
Suntec City,2739,2022-03-16T21:07
Suntec City,2739,2022-03-16T21:12
Suntec City,2739,2022-03-16T21:17
Suntec City,2739,2022-03-16T21:27
Suntec City,953,2022-03-17T04:07
Suntec City,1374,2022-03-17T11:47
Suntec City,2728,2022-03-17T21:17
Suntec City,2728,2022-03-17T21:52
Suntec City,2726,2022-03-17T22:07
Suntec City,2726,2022-03-17T22:12
Suntec City,1009,2022-03-18T10:37
Suntec City,2497,2022-03-18T15:37
Suntec City,2366,2022-03-19T02:02
Suntec City,2328,2022-03-19T14:47
Suntec City,2406,2022-03-19T15:22
Suntec City,2450,2022-03-19T15:37
Suntec City,2450,2022-03-19T15:47
Suntec City,2456,2022-03-20T14:02
Suntec City,2557,2022-03-20T14:37
Suntec City,2589,2022-03-20T14:52
Suntec City,2589,2022-03-20T14:57
Suntec City,2636,2022-03-20T15:42
Suntec City,2696,2022-03-20T16:37
Suntec City,2706,2022-03-20T17:07
Suntec City,2706,2022-03-20T17:12
Suntec City,2715,2022-03-20T17:22
Suntec City,2741,2022-03-20T19:52
Suntec City,2741,2022-03-20T20:12
Suntec City,2741,2022-03-20T20:22
Suntec City,2741,2022-03-20T20:27
Suntec City,2740,2022-03-20T21:37
Suntec City,1869,2022-03-21T11:22
Suntec City,1912,2022-03-21T11:52
Suntec City,1912,2022-03-21T11:57
Suntec City,1944,2022-03-21T12:17
Suntec City,2061,2022-03-21T12:32
Suntec City,2209,2022-03-21T13:07
Suntec City,2509,2022-03-21T14:02
Suntec City,2556,2022-03-21T14:27
Suntec City,1121,2022-03-22T04:42
Suntec City,2412,2022-03-22T13:47
Suntec City,2412,2022-03-22T13:57
Suntec City,2471,2022-03-22T14:02
Suntec City,2575,2022-03-22T14:37
Suntec City,2744,2022-03-22T22:52
Suntec City,2744,2022-03-22T22:57
Suntec City,2736,2022-03-22T23:02
Suntec City,2736,2022-03-22T23:12
Suntec City,1809,2022-03-22T23:17
Suntec City,1174,2022-03-23T04:07
Suntec City,1174,2022-03-23T04:12
Suntec City,1068,2022-03-23T05:47
Suntec City,1068,2022-03-23T05:52
Suntec City,2275,2022-03-23T13:42
Suntec City,2374,2022-03-23T13:52
Suntec City,2374,2022-03-23T13:57
Suntec City,1201,2022-03-25T03:57
Suntec City,2420,2022-03-26T15:12
Suntec City,2451,2022-03-26T15:22
Suntec City,2522,2022-03-26T15:47
Suntec City,2522,2022-03-26T15:57
Suntec City,2563,2022-03-26T16:07
Suntec City,2582,2022-03-26T16:17
Suntec City,2414,2022-03-27T13:52
Suntec City,2414,2022-03-27T13:57
Suntec City,2655,2022-03-27T15:52
Suntec City,1749,2022-03-28T10:37
Suntec City,912,2022-03-29T05:22
Suntec City,1672,2022-03-29T11:22
Suntec City,2328,2022-03-29T13:52
Suntec City,2506,2022-03-30T14:42
Suntec City,2575,2022-03-30T15:07
Suntec City,2575,2022-03-30T15:12
Suntec City,2651,2022-03-30T15:47
Suntec City,930,2022-03-31T06:12
Suntec City,915,2022-03-31T06:22
Suntec City,1648,2022-03-31T11:07
Suntec City,2386,2022-03-31T14:07
Suntec City,959,2022-04-01T06:12
Suntec City,959,2022-04-01T06:17
Suntec City,986,2022-04-01T06:22
Suntec City,2697,2022-04-01T18:07
Suntec City,2744,2022-04-01T21:07
Suntec City,2745,2022-04-01T21:47
Suntec City,2745,2022-04-01T21:52
Suntec City,2745,2022-04-01T21:57
Suntec City,2745,2022-04-01T22:02
Suntec City,2745,2022-04-01T22:12
Suntec City,2672,2022-04-02T00:07
Suntec City,2442,2022-04-02T01:37
